species	sporulation_score
Acinetobacter_lwoffii_58233	0.212121212121212
Acinetobacter_lwoffii_59552	0.212121212121212
Acinetobacter_nectaris_60345	0.166666666666667
Acinetobacter_oleivorans_57892	0.181818181818182
Acinetobacter_oleivorans_59248	0.181818181818182
Acinetobacter_parvus_58065	0.181818181818182
Acinetobacter_pittii_59554	0.166666666666667
Acinetobacter_rudis_61490	0.166666666666667
Acinetobacter_schindleri_57376	0.212121212121212
Acinetobacter_soli_56206	0.166666666666667
Acinetobacter_sp_43453	0.181818181818182
Acinetobacter_sp_57495	0.166666666666667
Acinetobacter_sp_57689	0.166666666666667
Acinetobacter_sp_57696	0.181818181818182
Acinetobacter_sp_57877	0.181818181818182
Acinetobacter_sp_58209	0.166666666666667
Acinetobacter_sp_58244	0.181818181818182
Acinetobacter_sp_58355	0.166666666666667
Acinetobacter_sp_59235	0.196969696969697
Acinetobacter_sp_59499	0.166666666666667
Acinetobacter_sp_59555	0.181818181818182
Acinetobacter_sp_59556	0.151515151515152
Acinetobacter_sp_59557	0.181818181818182
Acinetobacter_sp_59558	0.181818181818182
Acinetobacter_sp_59559	0.212121212121212
Acinetobacter_sp_59560	0.166666666666667
Acinetobacter_sp_59561	0.151515151515152
Acinetobacter_sp_59562	0.196969696969697
Acinetobacter_sp_60785	0.196969696969697
Acinetobacter_sp_60880	0.166666666666667
Acinetobacter_sp_61570	0.166666666666667
Acinetobacter_tandoii_58658	0.181818181818182
Acinetobacter_tjernbergiae_58659	0.166666666666667
Acinetobacter_towneri_58660	0.151515151515152
Acinetobacter_ursingii_57496	0.181818181818182
Acinetobacter_venetianus_57626	0.166666666666667
Actibacterium_mucosum_60611	0.181818181818182
Actibacterium_sp_60628	0.166666666666667
Actinoalloteichus_cyanogriseus_52665	0.227272727272727
Actinobacillus_capsulatus_58661	0.151515151515152
Actinobacillus_equuli_60988	0.166666666666667
Actinobacillus_minor_61897	0.151515151515152
Actinobacillus_minor_61978	0.151515151515152
Actinobacillus_pleuropneumoniae_57270	0.136363636363636
Actinobacillus_succinogenes_61287	0.151515151515152
Actinobacillus_suis_52501	0.151515151515152
Actinobacillus_ureae_62439	0.136363636363636
Actinobacterium_LLX17_59625	0.181818181818182
Actinobacterium_SCGC_62504	0.151515151515152
Actinobacterium_SCGC_62552	0.121212121212121
Actinobaculum_massiliae_62417	0.136363636363636
Actinobaculum_schaalii_44752	0.121212121212121
Actinobaculum_schaalii_62418	0.121212121212121
Actinobaculum_sp_59615	0.151515151515152
Actinobaculum_urinale_58662	0.106060606060606
Actinocatenispora_sera_61397	0.196969696969697
Actinokineospora_enzanensis_58663	0.227272727272727
Actinokineospora_inagensis_58664	0.227272727272727
Actinokineospora_sp_62492	0.227272727272727
Actinomadura_atramentaria_58665	0.242424242424242
Actinomadura_flavalba_61811	0.227272727272727
Actinomadura_madurae_60348	0.242424242424242
Actinomadura_oligospora_60368	0.242424242424242
Actinomadura_rifamycini_58666	0.212121212121212
Actinomyces_cardiffensis_62444	0.166666666666667
Actinomyces_coleocanis_61704	0.151515151515152
Actinomyces_dentalis_58667	0.151515151515152
Actinomyces_europaeus_62419	0.166666666666667
Actinomyces_georgiae_55085	0.166666666666667
Actinomyces_gerencseriae_58668	0.136363636363636
Actinomyces_graevenitzii_58300	0.121212121212121
Actinomyces_israelii_58669	0.136363636363636
Actinomyces_johnsonii_57359	0.136363636363636
Actinomyces_massiliensis_56461	0.136363636363636
Actinomyces_naeslundii_58629	0.136363636363636
Actinomyces_neuii_58670	0.151515151515152
Actinomyces_neuii_62451	0.151515151515152
Actinomyces_odontolyticus_57475	0.166666666666667
Actinomyces_slackii_59880	0.151515151515152
Actinomyces_sp_56280	0.166666666666667
Actinomyces_sp_57735	0.181818181818182
Actinomyces_sp_58589	0.166666666666667
Actinomyces_sp_58647	0.166666666666667
Actinomyces_sp_59161	0.166666666666667
Actinomyces_sp_59450	0.166666666666667
Actinomyces_sp_59588	0.166666666666667
Actinomyces_sp_59944	0.166666666666667
Actinomyces_sp_60114	0.166666666666667
Actinomyces_sp_62027	0.166666666666667
Actinomyces_sp_62277	0.151515151515152
Actinomyces_sp_62445	0.166666666666667
Actinomyces_sp_62446	0.136363636363636
Actinomyces_sp_62581	0.181818181818182
Actinomyces_sp_62582	0.166666666666667
Actinomyces_suimastitidis_58671	0.181818181818182
Actinomyces_timonensis_61695	0.136363636363636
Actinomyces_turicensis_62420	0.151515151515152
Actinomyces_urogenitalis_53864	0.166666666666667
Actinomyces_vaccimaxillae_58672	0.166666666666667
Actinomyces_viscosus_57672	0.166666666666667
Actinomycetospora_chiangmaiensis_58673	0.196969696969697
Actinoplanes_friuliensis_59778	0.212121212121212
Actinoplanes_globisporus_58674	0.196969696969697
Actinoplanes_missouriensis_61677	0.242424242424242
Actinoplanes_sp_60193	0.227272727272727
Actinoplanes_sp_62030	0.196969696969697
Actinoplanes_subtropicus_61745	0.212121212121212
Actinoplanes_utahensis_60959	0.227272727272727
Actinopolymorpha_alba_58675	0.212121212121212
Actinopolyspora_erythraea_61488	0.212121212121212
Actinopolyspora_halophila_58532	0.227272727272727
Actinopolyspora_mortivallis_58450	0.212121212121212
Actinospica_robiniae_61611	0.166666666666667
Actinosporangium_sp_60634	0.257575757575758
Actinosynnema_mirum_61537	0.227272727272727
Actinotalea_fermentans_62353	0.136363636363636
Actinotalea_ferrariae_62621	0.166666666666667
Adhaeribacter_aquaticus_62514	0.166666666666667
Adlercreutzia_equolifaciens_60310	0.166666666666667
Advenella_kashmirensis_58390	0.166666666666667
Advenella_kashmirensis_60498	0.196969696969697
Advenella_mimigardefordensis_59780	0.181818181818182
Aequorivita_capsosiphonis_58676	0.136363636363636
Aequorivita_sublithincola_62234	0.121212121212121
Aerococcus_urinae_62371	0.166666666666667
Aerococcus_viridans_58017	0.151515151515152
Aerococcus_viridans_62040	0.151515151515152
Aeromonas_allosaccharophila_58097	0.212121212121212
Aeromonas_australiensis_58621	0.227272727272727
Aeromonas_bestiarum_58177	0.212121212121212
Aeromonas_bivalvium_61515	0.212121212121212
Aeromonas_caviae_57221	0.212121212121212
Aeromonas_diversa_43116	0.212121212121212
Aeromonas_encheleia_62202	0.212121212121212
Aeromonas_eucrenophila_62023	0.212121212121212
Aeromonas_fluvialis_61900	0.212121212121212
Aeromonas_hydrophila_57540	0.212121212121212
Aeromonas_hydrophila_57782	0.242424242424242
Aeromonas_hydrophila_60229	0.212121212121212
Aeromonas_jandaei_58278	0.227272727272727
Aeromonas_media_57598	0.212121212121212
Aeromonas_molluscorum_59859	0.196969696969697
Aeromonas_popoffii_62169	0.212121212121212
Aeromonas_rivuli_62020	0.196969696969697
Aeromonas_salmonicida_57597	0.212121212121212
Aeromonas_sanarellii_61962	0.212121212121212
Aeromonas_schubertii_62036	0.212121212121212
Aeromonas_simiae_61016	0.227272727272727
Aeromonas_sobria_62017	0.227272727272727
Aeromonas_sp_60856	0.227272727272727
Aeromonas_sp_61806	0.212121212121212
Aeromonas_taiwanensis_61963	0.212121212121212
Aeromonas_tecta_61253	0.212121212121212
Aeromonas_veronii_58155	0.227272727272727
Aeromonas_veronii_58488	0.227272727272727
Aestuariibacter_salexigens_58677	0.181818181818182
Aestuariimicrobium_kwangyangense_58678	0.166666666666667
Afifella_pfennigii_58679	0.166666666666667
Afipia_birgiae_59428	0.181818181818182
Afipia_broomeae_57107	0.181818181818182
Afipia_felis_62421	0.196969696969697
Afipia_sp_42814	0.196969696969697
Afipia_sp_60503	0.166666666666667
Afipia_sp_62071	0.181818181818182
Agarivorans_albus_60122	0.196969696969697
Aggregatibacter_actinomycetemcomitans_57720	0.151515151515152
Aggregatibacter_actinomycetemcomitans_57999	0.166666666666667
Aggregatibacter_aphrophilus_58143	0.181818181818182
Aggregatibacter_segnis_62447	0.151515151515152
Aggregatibacter_sp_60097	0.136363636363636
Agrobacterium_albertimagni_59273	0.166666666666667
Agrobacterium_fabrum_57555	0.196969696969697
Agrobacterium_rhizogenes_57109	0.181818181818182
Agrobacterium_rhizogenes_61328	0.181818181818182
Agrobacterium_sp_43897	0.166666666666667
Agrobacterium_sp_56572	0.166666666666667
Agrobacterium_tumefaciens_56379	0.181818181818182
Agrobacterium_tumefaciens_58230	0.166666666666667
Agrobacterium_tumefaciens_58451	0.181818181818182
Agrobacterium_tumefaciens_58522	0.166666666666667
Agrobacterium_tumefaciens_61326	0.196969696969697
Agrobacterium_vitis_61176	0.181818181818182
Agromyces_italicus_58680	0.181818181818182
Agromyces_subbeticus_58681	0.181818181818182
Ahrensia_sp_60277	0.166666666666667
Ahrensia_sp_62225	0.151515151515152
Akkermansia_muciniphila_55290	0.196969696969697
Alcaligenes_faecalis_58122	0.181818181818182
Alcaligenes_faecalis_59271	0.181818181818182
Alcaligenes_faecalis_59573	0.196969696969697
Alcaligenes_sp_60356	0.196969696969697
Alcanivorax_borkumensis_54471	0.166666666666667
Alcanivorax_dieselolei_62545	0.196969696969697
Alcanivorax_hongdengensis_59364	0.212121212121212
Alcanivorax_jadensis_59365	0.196969696969697
Alcanivorax_pacificus_61421	0.196969696969697
Alcanivorax_sp_53403	0.196969696969697
Alcanivorax_sp_59363	0.212121212121212
Alcanivorax_sp_60360	0.212121212121212
Alcanivorax_sp_61044	0.212121212121212
Algibacter_lectus_54369	0.121212121212121
Algicola_sagamiensis_58682	0.212121212121212
Algiphilus_aromaticivorans_60478	0.166666666666667
Algoriphagus_mannitolivorans_58683	0.136363636363636
Algoriphagus_marincola_58684	0.136363636363636
Algoriphagus_marincola_60055	0.136363636363636
Algoriphagus_sp_61393	0.136363636363636
Algoriphagus_terrigena_58685	0.136363636363636
Algoriphagus_vanfongensis_58686	0.136363636363636
Aliagarivorans_marinus_58687	0.212121212121212
Aliagarivorans_taiwanensis_58688	0.212121212121212
Alicycliphilus_denitrificans_54532	0.196969696969697
Alicycliphilus_sp_59436	0.151515151515152
Alicyclobacillus_acidocaldarius_58444	0.575757575757576
Alicyclobacillus_acidocaldarius_61694	0.575757575757576
Alicyclobacillus_acidocaldarius_61744	0.575757575757576
Alicyclobacillus_acidoterrestris_60236	0.575757575757576
Alicyclobacillus_contaminans_58689	0.575757575757576
Alicyclobacillus_herbarius_58690	0.590909090909091
Alicyclobacillus_hesperidum_59432	0.560606060606061
Alicyclobacillus_macrosporangiidus_60296	0.590909090909091
Alicyclobacillus_pohliae_58691	0.606060606060606
Alicyclobacillus_pomorum_58603	0.606060606060606
Aliihoeflea_sp_60291	0.166666666666667
Aliivibrio_salmonicida_56849	0.212121212121212
Alishewanella_aestuarii_59424	0.196969696969697
Alishewanella_agri_59418	0.196969696969697
Alishewanella_jeotgali_59169	0.181818181818182
Alistipes_finegoldii_56071	0.121212121212121
Alistipes_indistinctus_62207	0.106060606060606
Alistipes_onderdonkii_55464	0.136363636363636
Alistipes_putredinis_61533	0.106060606060606
Alistipes_senegalensis_58364	0.121212121212121
Alistipes_shahii_62199	0.106060606060606
Alistipes_sp_58363	0.121212121212121
Alistipes_sp_59510	0.151515151515152
Alistipes_sp_60166	0.166666666666667
Alistipes_sp_60764	0.121212121212121
Alkalibacillus_haloalkaliphilus_59413	0.545454545454545
Alkalibacterium_sp_59634	0.242424242424242
Alkaliflexus_imshenetskii_62529	0.151515151515152
Alkalilimnicola_ehrlichii_60960	0.196969696969697
Alkaliphilus_metalliredigens_61146	0.742424242424242
Alkaliphilus_oremlandii_61310	0.666666666666667
Alkaliphilus_transvaalensis_60415	0.681818181818182
Alkanindiges_illinoisensis_58692	0.181818181818182
Allobaculum_stercoricanis_58449	0.121212121212121
Allochromatium_vinosum_61838	0.151515151515152
Allofustis_seminis_58693	0.151515151515152
Alloiococcus_otitis_62422	0.196969696969697
Allokutzneria_albata_61005	0.227272727272727
Alloprevotella_rava_62101	0.136363636363636
Alloscardovia_omnicolens_54782	0.136363636363636
Alpha_proteobacterium_44631	0.136363636363636
Alpha_proteobacterium_58335	0.106060606060606
Alpha_proteobacterium_58336	0.0909090909090909
Alpha_proteobacterium_59591	0.121212121212121
Alpha_proteobacterium_59626	0.151515151515152
Alpha_proteobacterium_59674	0.166666666666667
Alpha_proteobacterium_59930	0.196969696969697
Alpha_proteobacterium_60132	0.166666666666667
Alpha_proteobacterium_60362	0.106060606060606
Alpha_proteobacterium_60714	0.151515151515152
Alpha_proteobacterium_61272	0.181818181818182
Alpha_proteobacterium_62122	0.151515151515152
Alpha_proteobacterium_62227	0.151515151515152
Alpha_proteobacterium_62342	0.151515151515152
Alteromonas_australica_61892	0.181818181818182
Alteromonas_macleodii_57135	0.181818181818182
Alteromonas_macleodii_57644	0.166666666666667
Alteromonas_macleodii_58315	0.151515151515152
Alteromonas_marina_60992	0.166666666666667
Alteromonas_sp_35036	0.181818181818182
Alteromonas_sp_58422	0.196969696969697
Alteromonas_sp_60016	0.166666666666667
Alteromonas_sp_62189	0.181818181818182
Altuibacter_lentus_59599	0.121212121212121
Alysiella_crassa_58694	0.181818181818182
Aminiphilus_circumscriptus_60043	0.227272727272727
Aminobacter_sp_62562	0.196969696969697
Aminobacterium_colombiense_61842	0.227272727272727
Aminobacterium_mobile_60044	0.227272727272727
Aminomonas_paucivorans_61873	0.242424242424242
Ammonifex_degensii_61502	0.606060606060606
Amoebophilus_asiaticus_61548	0.106060606060606
Amorphus_coralli_58695	0.136363636363636
Amphibacillus_jilinensis_61814	0.621212121212121
Amphibacillus_xylanus_62154	0.560606060606061
Amphritea_japonica_59886	0.227272727272727
Amycolatopsis_alba_59153	0.212121212121212
Amycolatopsis_azurea_59733	0.212121212121212
Amycolatopsis_balhimycina_58531	0.212121212121212
Amycolatopsis_benzoatilytica_58530	0.212121212121212
Amycolatopsis_decaplanina_59941	0.227272727272727
Amycolatopsis_halophila_61910	0.196969696969697
Amycolatopsis_jejuensis_61266	0.196969696969697
Amycolatopsis_lurida_60625	0.227272727272727
Amycolatopsis_mediterranei_47955	0.212121212121212
Amycolatopsis_nigrescens_58473	0.227272727272727
Amycolatopsis_orientalis_57016	0.196969696969697
Amycolatopsis_orientalis_57965	0.227272727272727
Amycolatopsis_orientalis_59152	0.227272727272727
Amycolatopsis_orientalis_60158	0.181818181818182
Amycolatopsis_rifamycinica_61125	0.212121212121212
Amycolatopsis_taiwanensis_58696	0.242424242424242
Amycolatopsis_thermoflava_57694	0.257575757575758
Amycolatopsis_vancoresmycina_60999	0.227272727272727
Amycolicicoccus_subflavus_61527	0.212121212121212
Anabaena_cylindrica_61092	0.136363636363636
Anabaena_sp_60930	0.136363636363636
Anabaena_sp_61563	0.121212121212121
Anabaena_variabilis_61051	0.166666666666667
Anaerobaculum_hydrogeniformans_61903	0.242424242424242
Anaerobaculum_mobile_62475	0.227272727272727
Anaerobiospirillum_succiniciproducens_58697	0.151515151515152
Anaerococcus_hydrogenalis_58044	0.166666666666667
Anaerococcus_lactolyticus_57374	0.151515151515152
Anaerococcus_obesiensis_58051	0.166666666666667
Anaerococcus_prevotii_61724	0.166666666666667
Anaerococcus_prevotii_62402	0.151515151515152
Anaerococcus_senegalensis_58365	0.181818181818182
Anaerococcus_sp_58645	0.181818181818182
Anaerococcus_sp_62593	0.166666666666667
Anaerococcus_tetradius_61705	0.151515151515152
Anaerofustis_stercorihominis_61534	0.5
Anaeroglobus_geminatus_62348	0.196969696969697
Anaerolinea_thermophila_62525	0.181818181818182
Anaeromusa_acidaminophila_56214	0.318181818181818
Anaeromyxobacter_dehalogenans_57037	0.181818181818182
Anaeromyxobacter_dehalogenans_61133	0.196969696969697
Anaeromyxobacter_sp_61464	0.196969696969697
Anaerophaga_sp_61385	0.196969696969697
Anaerophaga_thermohalophila_59207	0.196969696969697
Anaerophaga_thermohalophila_62435	0.151515151515152
Anaerosalibacter_sp_60200	0.681818181818182
Anaerostipes_caccae_55430	0.53030303030303
Anaerostipes_hadrus_55206	0.53030303030303
Anaerotruncus_sp_59696	0.575757575757576
Anaerovibrio_lipolyticus_60416	0.212121212121212
Anaerovibrio_lipolyticus_62322	0.212121212121212
Anaerovibrio_sp_59434	0.212121212121212
Anaerovorax_odorimutans_58698	0.53030303030303
Anaplasma_centrale_61850	0.106060606060606
Anaplasma_marginale_55765	0.0757575757575758
Anaplasma_phagocytophilum_56954	0.0606060606060606
Anditalea_andensis_58445	0.166666666666667
Andreprevotia_chitinilytica_58699	0.181818181818182
Aneurinibacillus_aneurinilyticus_62028	0.666666666666667
Aneurinibacillus_terranovensis_58700	0.621212121212121
Anoxybacillus_ayderensis_57275	0.287878787878788
